,Array / String,,Master,No Idea,Note,169,,
502,IPO,Hard,,1,"Two Heaps, min and max",Apr-08,,
,,,,,,,,
,Bit Manipulation,,,,,,,
67,Add Binary,Easy,,,"Mod it by 2 for binary. Ord() - ord(""0"") to convert",Mar-29,Apr-09,
190,Reverse Bits,Easy,,,Memorize the equation,Mar-30,Apr-09,
136,Single Number,Easy,,,XOR,Mar-30,Apr-09,
191,Number of 1 Bits,Easy,,,Increment res each time it is dividable by 2,Apr-09,,
137,Single Number II,Medium,,1,What da fuck…?,Apr-09,,
,,,,,,,,
,Dynamic Programming,,,,,,,
70,Climbing Stairs,Easy,,,,Mar-30,Apr-09,
198,House Robber,Medium,,,Kinda like sliding window,Mar-30,Apr-09,
139,Word Break,Medium,,1,"Bottom up, find the base case and work from there on dp table",Mar-31,Apr-09,
322,Coin Change,Medium,,,Bottom up,Apr-02,Apr-09,
300,Longest Increasing subsequence,Medium,,,,Apr-02,Apr-18,
120,Triangle,Medium,,,Reverse pyramid,Apr-03,Apr-04,
63,Unique Path II,Medium,,,Think about using only one row for saving up memory,Apr-03,Apr-04,
97,Interleaving String,Medium,,,Use grid and additional layer technique,Apr-04,,
1143,Longest Common Subsequence,Medium,,1,Evaluate how position change on matrix. Build matrix with two words,Apr-19,,
72,Edit Distance,Medium,,1,Evalutate position change for the three cases,Apr-19,Apr-22,
221,Maximal Square,Medium,,,Evalutate what to put in each block and case table,Apr-20,,
64,Minimum Path Sum,Medium,,,Overflow technique,May-21,,
,,,,,,,,
,HackerRank,,,,,,,
,Tower Breakers,Medium,,,"Math, rather than mimic the game",Apr-13,,
,Case Cipher,Medium,,,What if it goes over 26?,Apr-13,,
,Grid Challenge,Easy,,,Grid,Apr-13,,
,Palindrome Index,Easy,,,There is only one element. Not mentioned in the question,Apr-13,,
,New Year Chaos,,,,,Apr-13,,
,Merge Sorted Linked List,,,,,Apr-13,,
,,,,,,,,
,Random,,,,,,,
